time,theta_PID1_noload,theta_PID2_noload,theta_PID3_noload,theta_ref,Volt_PID1_noload,Volt_PID2_noload,Volt_PID3_noload
2.97,91.4858755755433,88.3986172940018,90.6185108547415,90,-0.384300870000653,0.82602145709554,-0.0760227590077673
2.98,91.4561061622808,88.9749316803632,90.605681820323,90,-0.382758866048042,0.654387079249249,-0.0790503617949358
2.99,91.413569188164,89.5452671058816,90.5912192408421,90,-0.376673123886898,0.480440787909362,-0.0813989216944034
3,91.3591176073764,90.103411094021,90.5750925654772,90,-0.366317356743484,0.306193006715382,-0.0830667533574447
3.01,91.2937302611815,90.6434697111421,90.557301137787,90,-0.352010048254644,0.133598742610653,-0.084061056883873
3.02,91.2184931686023,91.1599240161117,90.5378723074789,90,-0.334108208045134,-0.0354626145304446,-0.08439728490357
3.03,91.1345802244108,91.647680675906,90.5168593026017,90,-0.313000892963539,-0.19920605811839,-0.0840984439100156
3.04,91.043233588163,92.1021163527023,90.4943389037338,90,-0.28910259078782,-0.355958129351309,-0.0831943426917159
3.05,90.9457440394545,92.5191155489971,90.4704089617071,90,-0.262846560717175,-0.504172335221177,-0.0817208005917086
3.06,90.8434315627173,92.8951016794669,90.4451857998428,90,-0.234678221327077,-0.64244269896353,-0.079718828055849
3.07,90.7376264100529,93.2270612206418,90.418801540634,90,-0.205048671978853,-0.769515346272274,-0.0772337915200337
3.08,90.6296508731166,93.5125608710793,90.3914013953248,90,-0.174408428053352,-0.884298055349494,-0.0743145741487641
3.09,90.5208019752964,93.7497577347012,90.3631409529562,90,-0.143201443936411,-0.985867723688157,-0.0710127432870538
3.1,90.4123352737184,93.9374026174604,90.3341835032231,90,-0.111859490545056,-1.07347572911403,-0.0673817347396871
3.11,90.3054499373559,94.0748366017343,90.3046974249585,90,-0.0807969464734518,-1.14655118677267,-0.0634760631616946
3.12,90.2012752430753,94.16198113307,90.2748536692923,90,-0.050406053685129,-1.20470212718252,-0.0593505669471816
3.13,90.1008586062212,94.1993219194613,90.2448233635568,90,-0.0210526802111904,-1.24771464294463,-0.0550596950555123
3.14,90.0051552366788,94.1878870036289,90.2147755588962,90,0.00692737633992419,-1.27555007298214,-0.050656842229799
3.15,89.9150194856269,94.1292194232818,90.1848751413155,90,0.033231519373401,-1.28834031307408,-0.0461937380569001
3.16,89.8311979227498,94.0253449226194,90.1552809226341,90,0.057592901574531,-1.28638135976786,-0.0417198943050351
3.17,89.7543241588369,93.8787352200328,90.1261439245301,90,0.0797823829196713,-1.2701252113441,-0.037282113967759
