time,theta_PID3_noload,theta_PID3,theta_ref,Volt_PID3_noload,Volt_PID3,torque
5.42,90.0050317480671,89.9563873594702,90,0.000626559041943889,7.20118568659758,4.5
5.43,90.0055145185974,89.9568846063399,90,0.000599889521834365,7.20118765716449,4.5
5.44,90.0059803597899,89.9573856009972,90,0.000573856093989792,7.20118917355231,4.5
5.45,90.0064296746514,89.9578900978067,90,0.000548417653849544,7.2011902234411,4.5
5.46,90.0068628591438,89.9583978563101,90,0.00052353503962206,7.20119079541524,4.5
5.47,90.0072803009954,89.9589086401922,90,0.00049917134634847,7.20119087923161,4.5
5.48,90.0076823786723,89.9594222163536,90,0.000475292191072948,7.20119046605372,4.5
5.49,90.0080694605105,89.9599383540945,90,0.000451865928869035,7.20118954865106,4.5
5.5,90.0084419040102,89.9604568244119,90,0.000428863820005938,7.20118812156307,4.5
5.51,90.0088000552905,89.9609773994109,90,0.000406260149227797,7.20118618122803,4.5
5.52,90.0091442486992,89.9614998518292,90,0.000384032298568517,7.20118372607721,4.5
5.53,90.0094748065745,89.9620239546734,90,0.000362160775734115,7.20118075659544,4.5
5.54,90.00979203915,89.9625494809619,90,0.000340629200411692,7.2011772753491,4.5
5.55,90.0100962445952,89.9630762035721,90,0.000319424251320414,7.20117328698349,4.5
5.56,90.0103877091818,89.9636038951844,90,0.000298535577135129,7.20116879819126,4.5
5.57,90.0106667075665,89.9641323283176,90,0.000277955674634444,7.20116381765418,4.5
5.58,90.0109335031765,89.9646612754482,90,0.000257679737699053,7.20115835596065,4.5
5.59,90.0111883486887,89.9651905092052,90,0.000237705480869791,7.20115242550141,4.5
5.6,90.0114314865882,89.9657198026329,90,0.000218032941317463,7.20114604034617,4.5
5.61,90.0116631497948,89.9662489295124,90,0.000198664263068519,7.20113921610389,4.5
5.62,90.0118835623442,89.966777664733,90,0.000179603467362715,7.2011319697695,4.5
5.63,90.0120929401117,89.9673057847049,90,0.000160856212921195,7.20112431955978,4.5
5.64,90.0122914915665,89.9678330678037,90,0.000142429549833101,7.20111628474125,4.5
5.65,90.0124794185442,89.9683592948379,90,0.000124331670582377,7.20110788545272,4.5
5.66,90.0126569170263,89.9688842495318,90,0.000106571661584839,7.20109914252498,4.5
5.67,90.0128241779167,89.969407719014,90,8.91592583819904e-05,7.20109007730032,4.5
5.68,90.0129813878035,89.9699294943047,90,7.21046074097656e-05,7.20108071145397,4.5
5.69,90.0131287296999,89.9704493707953,90,5.54180369833289e-05,7.20107106681978,4.5
5.7,90.013266383752,89.9709671487112,90,3.91098398498681e-05,7.201061165222,4.5
5.71,90.0133945279099,89.9714826335536,90,2.31900694268262e-05,7.20105102831499,4.5
5.72,90.0135133385532,89.9719956365153,90,7.66835146384735e-06,7.20104067743244,4.5
5.73,90.0136229910665,89.9725059748628,90,-7.44628739370989e-06,7.20103013344739,4.5
5.74,90.0137236603599,89.9730134722839,90,-2.21455729514318e-05,7.20101941664423,4.5
5.75,90.0138155213318,89.9735179591962,90,-3.6422117878038e-05,7.20100854660353,4.5
5.76,90.0138987492708,89.9740192730121,90,-5.02695366113345e-05,7.20099754210055,4.5
5.77,90.0139735201955,89.9745172583618,90,-6.36825404416908e-05,7.20098642101763,4.5
5.78,90.0140400111313,89.9750117672696,90,-7.66570127786565e-05,7.20097520027103,4.5
5.79,90.0140984003244,89.9755026592855,90,-8.91900648262362e-05,7.20096389575215,4.5
5.8,90.0141488673948,89.9759898015697,90,-0.000101280072116253,7.20095252228296,4.5
5.81,90.0141915934285,89.9764730689334,90,-0.000112926692607296,7.20094109358548,4.5
5.82,90.0142267610126,89.9769523438339,90,-0.000124130867183201,7.20092962226485,4.5
5.83,90.0142545542158,89.9774275163286,90,-0.000134894803642465,7.20091811980529,4.5
5.84,90.0142751585179,89.9778984839873,90,-0.000145221945315938,7.20090659657838,4.5
5.85,90.0142887606922,89.9783651517676,90,-0.000155116925668137,7.20089506186274,4.5
5.86,90.0142955486449,89.9788274318547,90,-0.000164585510255761,7.2008835238742,4.5
5.87,90.0142957112173,89.9792852434689,90,-0.000173634527548359,7.20087198980555,4.5
5.88,90.0142894379533,89.9797385126445,90,-0.000182271790135448,7.20086046587464,4.5
5.89,90.01427691884,89.9801871719842,90,-0.000190506007885774,7.20084895737992,4.5
5.9,90.0142583440242,89.9806311603905,90,-0.000198346694629618,7.20083746876219,4.5
5.91,90.0142339035113,89.98107042278,90,-0.000205804069926735,7.20082600367144,4.5
5.92,90.0142037868503,89.9815049097835,90,-0.00021288895741823,7.20081456503766,4.5
5.93,90.0141681828112,89.9819345774346,90,-0.000219612681279074,7.20080315514451,4.5
5.94,90.0141272790581,89.9823593868524,90,-0.000225986962134349,7.20079177570477,4.5
5.95,90.0140812618233,89.9827793039192,90,-0.00023202381382735,7.20078042793658,4.5
5.96,90.014030315587,89.9831942989594,90,-0.000237735442217259,7.20076911263935,4.5
5.97,90.0139746227641,89.9836043464195,90,-0.000243134147183676,7.20075783026859,4.5
5.98,90.0139143634056,89.9840094245555,90,-0.000248232228867965,7.20074658100873,4.5
5.99,90.0138497149139,89.9844095151273,90,-0.000253041899051372,7.20073536484314,4.5
6,90.013780851777,89.9848046031045,90,-0.000257575198469296,7.20072418162069,4.5
